geoname,cvap_est
"Stephenson, Illinois",34545
"Tazewell, Illinois",100930
"Union, Illinois",13425
"Vermilion, Illinois",56270
"Wabash, Illinois",8745
"Warren, Illinois",12575
"Washington, Illinois",10835
"Wayne, Illinois",12305
"White, Illinois",10810
"Whiteside, Illinois",42620
"Will, Illinois",493645
"Williamson, Illinois",51835
"Winnebago, Illinois",205975
"Woodford, Illinois",29005
"Adams, Indiana",24505
"Allen, Indiana",274420
"Bartholomew, Indiana",56425
"Benton, Indiana",6425
"Blackford, Indiana",9350
"Boone, Indiana",51740
"Brown, Indiana",12720
"Carroll, Indiana",15725
"Cass, Indiana",27130
"Clark, Indiana",92020
"Clay, Indiana",20215
"Clinton, Indiana",22310
"Crawford, Indiana",8230
"Daviess, Indiana",22900
"Dearborn, Indiana",39275
"Decatur, Indiana",19890
"DeKalb, Indiana",32625
"Delaware, Indiana",90830
"Dubois, Indiana",31755
"Elkhart, Indiana",140760
"Fayette, Indiana",18130
"Floyd, Indiana",61235
"Fountain, Indiana",12800
"Franklin, Indiana",17540
"Fulton, Indiana",15225
"Gibson, Indiana",24775
"Grant, Indiana",51765
"Greene, Indiana",24090
"Hamilton, Indiana",245220
"Hancock, Indiana",61020
"Harrison, Indiana",30630
"Hendricks, Indiana",128720
"Henry, Indiana",38865
"Howard, Indiana",63850
"Huntington, Indiana",28380
"Jackson, Indiana",33320
"Jasper, Indiana",24970
"Jay, Indiana",15140
"Jefferson, Indiana",26195
"Jennings, Indiana",21060
"Johnson, Indiana",119340
"Knox, Indiana",27895
"Kosciusko, Indiana",59335
"LaGrange, Indiana",27060
"Lake, Indiana",367615
"LaPorte, Indiana",86535
"Lawrence, Indiana",35335
"Madison, Indiana",101325
"Marion, Indiana",674985
"Marshall, Indiana",33315
"Martin, Indiana",7660
"Miami, Indiana",28065
"Monroe, Indiana",111105
"Montgomery, Indiana",28495
"Morgan, Indiana",55445
"Newton, Indiana",10675
"Noble, Indiana",34485
"Ohio, Indiana",4735
"Orange, Indiana",15225
"Owen, Indiana",16975
"Parke, Indiana",12685
"Perry, Indiana",15070
"Pike, Indiana",9595
"Porter, Indiana",133200
"Posey, Indiana",19615
"Pulaski, Indiana",9705
"Putnam, Indiana",29160
"Randolph, Indiana",18670
"Ripley, Indiana",22030
"Rush, Indiana",12955
"St. Joseph, Indiana",199720
"Scott, Indiana",18775
"Shelby, Indiana",33945
"Spencer, Indiana",15370
"Starke, Indiana",17850
"Steuben, Indiana",27435
"Sullivan, Indiana",16585
"Switzerland, Indiana",7490
